"Genome","Substrates","n","Species"
"8FAA","glycolipid",1,"MB"
"8FAA","host glycan",37,"MB"
"8FAA","human milk polysaccharide",3,"MB"
"8FAA","pectin",13,"MB"
"8FAA","peptidoglycan",12,"MB"
"8FAA","polyphenol",7,"MB"
"8FAA","porphyran",1,"MB"
"8FAA","raffinose",3,"MB"
"8FAA","starch",12,"MB"
"8FAA","sucrose",9,"MB"
"8FAA","trehalose",8,"MB"
"8FAA","xylan",16,"MB"
"8FAA","xyloglucan",9,"MB"
"8FAA",NA,1,"MB"
"8FAAM","agarose",1,"MB"
"8FAAM","alpha-galactan",5,"MB"
"8FAAM","alpha-glucan",17,"MB"
"8FAAM","alpha-mannan",3,"MB"
"8FAAM","arabinan",7,"MB"
"8FAAM","arabinogalactan protein",9,"MB"
"8FAAM","beta-fucosides",1,"MB"
"8FAAM","beta-galactan",1,"MB"
"8FAAM","beta-glucan",14,"MB"
"8FAAM","beta-glucuronan",2,"MB"
"8FAAM","beta-glycan",3,"MB"
"8FAAM","beta-mannan",8,"MB"
"8FAAM","carrageenan",1,"MB"
"8FAAM","cellulose",4,"MB"
"8FAAM","chitin",10,"MB"
"8FAAM","chitosan",4,"MB"
"8FAAM","exo-polysaccharide",1,"MB"
"8FAAM","fructan",5,"MB"
"8FAAM","glucosylglycerate",13,"MB"
"8FAAM","glucosylglycerol",13,"MB"
"8FAAM","glycogen",14,"MB"
"8FAAM","glycolipid",3,"MB"
"8FAAM","host glycan",10,"MB"
"8FAAM","pectin",1,"MB"
"8FAAM","peptidoglycan",9,"MB"
"8FAAM","polyphenol",8,"MB"
"8FAAM","porphyran",1,"MB"
"8FAAM","raffinose",2,"MB"
"8FAAM","starch",18,"MB"
"8FAAM","sucrose",15,"MB"
"8FAAM","trehalose",13,"MB"
"8FAAM","xylan",11,"MB"
"8FAAM","xyloglucan",9,"MB"
"8FB","agarose",1,"MB"
"8FB","alpha-galactan",2,"MB"
"8FB","alpha-glucan",3,"MB"
"8FB","alpha-mannan",6,"MB"
"8FB","arabinan",6,"MB"
"8FB","arabinogalactan protein",2,"MB"
"8FB","beta-galactan",4,"MB"
"8FB","beta-glucan",9,"MB"
"8FB","beta-glucuronan",4,"MB"
"8FB","beta-glycan",1,"MB"
"8FB","beta-mannan",8,"MB"
"8FB","carrageenan",1,"MB"
"8FB","cellulose",1,"MB"
"8FB","chitin",6,"MB"
"8FB","chitosan",5,"MB"
"8FB","exo-polysaccharide",10,"MB"
"8FB","glucosylglycerate",2,"MB"
"8FB","glucosylglycerol",2,"MB"
"8FB","glycogen",3,"MB"
"8FB","glycolipid",1,"MB"
"8FB","host glycan",28,"MB"
"8FB","human milk polysaccharide",9,"MB"
"8FB","pectin",6,"MB"
"8FB","peptidoglycan",8,"MB"
"8FB","polyphenol",3,"MB"
"8FB","porphyran",1,"MB"
"8FB","sialic acid",1,"MB"
"8FB","starch",5,"MB"
"8FB","sucrose",3,"MB"
"8FB","trehalose",2,"MB"
"8FB","xylan",8,"MB"
"8FB","xyloglucan",5,"MB"
"8FB",NA,2,"MB"
"Akkermansia","agarose",3,"non-MB"
"Akkermansia","alpha-galactan",5,"non-MB"
"Akkermansia","alpha-glucan",5,"non-MB"
"Akkermansia","alpha-mannan",8,"non-MB"
"Akkermansia","arabinan",9,"non-MB"
"Akkermansia","arabinogalactan protein",6,"non-MB"
"Akkermansia","beta-galactan",10,"non-MB"
"Akkermansia","beta-glucan",12,"non-MB"
"Akkermansia","beta-glucuronan",6,"non-MB"
"Akkermansia","beta-mannan",6,"non-MB"
"Akkermansia","carrageenan",3,"non-MB"
"Akkermansia","chitin",7,"non-MB"
"Akkermansia","chitosan",6,"non-MB"
"Akkermansia","exo-polysaccharide",14,"non-MB"
"Akkermansia","glucosylglycerate",3,"non-MB"
"Akkermansia","glucosylglycerol",3,"non-MB"
"Akkermansia","glycogen",3,"non-MB"
"Akkermansia","host glycan",45,"non-MB"
"Akkermansia","human milk polysaccharide",11,"non-MB"
"Akkermansia","pectin",14,"non-MB"
"Akkermansia","peptidoglycan",2,"non-MB"
"Akkermansia","polyphenol",3,"non-MB"
"Akkermansia","porphyran",3,"non-MB"
"Akkermansia","raffinose",2,"non-MB"
"Akkermansia","sialic acid",2,"non-MB"
"Akkermansia","starch",8,"non-MB"
"Akkermansia","sucrose",5,"non-MB"
"Akkermansia","trehalose",3,"non-MB"
"Akkermansia","ulvan",1,"non-MB"
"Akkermansia","xylan",12,"non-MB"
"Akkermansia","xyloglucan",8,"non-MB"
"Akkermansia",NA,1,"non-MB"
"B_theta","agarose",3,"non-MB"
"B_theta","alpha-galactan",14,"non-MB"
"B_theta","alpha-glucan",29,"non-MB"
"B_theta","alpha-mannan",55,"non-MB"
"B_theta","alpha-rhamnoside",6,"non-MB"
"B_theta","arabinan",84,"non-MB"
"B_theta","arabinogalactan",1,"non-MB"
"B_theta","arabinogalactan protein",55,"non-MB"
"B_theta","beta-fucosides",3,"non-MB"
"B_theta","beta-galactan",69,"non-MB"
"B_theta","beta-glucan",54,"non-MB"
"B_theta","beta-glucuronan",35,"non-MB"
"B_theta","beta-mannan",36,"non-MB"
"B_theta","carrageenan",7,"non-MB"
"B_theta","chitin",23,"non-MB"
"B_theta","chitosan",32,"non-MB"
