#SampleID	forward-absolute-filepath	reverse-absolute-filepath	samplename	name	location	experimenter
DP127_S127_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP127_S127_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP127_S127_L001_R2_001.fastq.gz	Se_C1M1_D3_N	DP127	Plate2_E4	Deanna
DP128_S128_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP128_S128_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP128_S128_L001_R2_001.fastq.gz	Se_C3M1_D3_C	DP128	Plate2_F4	Deanna
DP129_S129_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP129_S129_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP129_S129_L001_R2_001.fastq.gz	Am_C5M1_Dx28	DP129	Plate2_G4	Deanna
DP130_S130_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP130_S130_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP130_S130_L001_R2_001.fastq.gz	Am_C1M1_D3	DP130	Plate2_H4	Deanna
DP131_S131_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP131_S131_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP131_S131_L001_R2_001.fastq.gz	Am_C5M2_D21	DP131	Plate2_A5	Deanna
DP132_S132_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP132_S132_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP132_S132_L001_R2_001.fastq.gz	Se_C1M1_D0_C	DP132	Plate2_B5	Deanna
DP133_S133_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP133_S133_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP133_S133_L001_R2_001.fastq.gz	Se_C3M2_D1_M	DP133	Plate2_C5	Deanna
DP134_S134_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP134_S134_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP134_S134_L001_R2_001.fastq.gz	Se_C1M3_D2_M	DP134	Plate2_D5	Deanna
DP135_S135_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP135_S135_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP135_S135_L001_R2_001.fastq.gz	Se_C2M1_D3_N	DP135	Plate2_E5	Deanna
DP136_S136_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP136_S136_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP136_S136_L001_R2_001.fastq.gz	Se_C4M1_D3_C	DP136	Plate2_F5	Deanna
